data_hora,lixo1,lixo2,user
20210401044000,-2.289.836.111,-4.309.041.667,94
20210401044500,-2.289.836.111,-4.309.041.667,98
20210401045000,-2.289.836.111,-4.309.041.667,80
20210401045500,-2.289.836.111,-4.309.041.667,102
,,,
20210401050000,-2.289.836.111,-4.309.041.667,122
20210401050500,-2.289.836.111,-4.309.041.667,93
20210401051000,-2.289.836.111,-4.309.041.667,119
20210401051500,-2.289.836.111,-4.309.041.667,138
20210401052000,-2.289.836.111,-4.309.041.667,92
20210401052500,-2.289.836.111,-4.309.041.667,111
20210401053000,-2.289.836.111,-4.309.041.667,118
20210401053500,-2.289.836.111,-4.309.041.667,102
20210401054000,-2.289.836.111,-4.309.041.667,87
20210401054500,-2.289.836.111,-4.309.041.667,113
20210401055000,-2.289.836.111,-4.309.041.667,109
20210401055500,-2.289.836.111,-4.309.041.667,142
,,,
20210401060000,-2.289.836.111,-4.309.041.667,124
20210401060500,-2.289.836.111,-4.309.041.667,126
20210401061000,-2.289.836.111,-4.309.041.667,144
20210401061500,-2.289.836.111,-4.309.041.667,126
20210401062000,-2.289.836.111,-4.309.041.667,139
20210401062500,-2.289.836.111,-4.309.041.667,129
20210401063000,-2.289.836.111,-4.309.041.667,109
20210401063500,-2.289.836.111,-4.309.041.667,130
20210401064000,-2.289.836.111,-4.309.041.667,103
20210401064500,-2.289.836.111,-4.309.041.667,125
20210401065000,-2.289.836.111,-4.309.041.667,139
20210401065500,-2.289.836.111,-4.309.041.667,145
,,,
20210401070000,-2.289.836.111,-4.309.041.667,176
20210401070500,-2.289.836.111,-4.309.041.667,138
20210401071000,-2.289.836.111,-4.309.041.667,175
20210401071500,-2.289.836.111,-4.309.041.667,142
20210401072000,-2.289.836.111,-4.309.041.667,150
20210401072500,-2.289.836.111,-4.309.041.667,143
20210401073000,-2.289.836.111,-4.309.041.667,153
20210401073500,-2.289.836.111,-4.309.041.667,133
20210401074000,-2.289.836.111,-4.309.041.667,112
20210401074500,-2.289.836.111,-4.309.041.667,144
20210401075000,-2.289.836.111,-4.309.041.667,160
20210401075500,-2.289.836.111,-4.309.041.667,200
,,,
20210401080000,-2.289.836.111,-4.309.041.667,200
20210401080500,-2.289.836.111,-4.309.041.667,157
20210401081000,-2.289.836.111,-4.309.041.667,219
20210401081500,-2.289.836.111,-4.309.041.667,206
20210401082000,-2.289.836.111,-4.309.041.667,178
20210401082500,-2.289.836.111,-4.309.041.667,209
20210401083000,-2.289.836.111,-4.309.041.667,172
20210401083500,-2.289.836.111,-4.309.041.667,154
20210401084000,-2.289.836.111,-4.309.041.667,190
20210401084500,-2.289.836.111,-4.309.041.667,201
20210401085000,-2.289.836.111,-4.309.041.667,181
20210401085500,-2.289.836.111,-4.309.041.667,210
,,,
20210401090000,-2.289.836.111,-4.309.041.667,197
20210401090500,-2.289.836.111,-4.309.041.667,234
20210401091000,-2.289.836.111,-4.309.041.667,230
20210401091500,-2.289.836.111,-4.309.041.667,192
20210401092000,-2.289.836.111,-4.309.041.667,176
20210401092500,-2.289.836.111,-4.309.041.667,195
20210401093000,-2.289.836.111,-4.309.041.667,238
20210401093500,-2.289.836.111,-4.309.041.667,172
20210401094000,-2.289.836.111,-4.309.041.667,178
20210401094500,-2.289.836.111,-4.309.041.667,190
20210401095000,-2.289.836.111,-4.309.041.667,188
20210401095500,-2.289.836.111,-4.309.041.667,243
,,,
20210401100000,-2.289.836.111,-4.309.041.667,220
20210401100500,-2.289.836.111,-4.309.041.667,303
20210401101000,-2.289.836.111,-4.309.041.667,229
20210401101500,-2.289.836.111,-4.309.041.667,246
20210401102000,-2.289.836.111,-4.309.041.667,220
20210401102500,-2.289.836.111,-4.309.041.667,256
20210401103000,-2.289.836.111,-4.309.041.667,260
20210401103500,-2.289.836.111,-4.309.041.667,234
20210401104000,-2.289.836.111,-4.309.041.667,248
20210401104500,-2.289.836.111,-4.309.041.667,202
20210401105000,-2.289.836.111,-4.309.041.667,244
20210401105500,-2.289.836.111,-4.309.041.667,279
,,,
20210401110000,-2.289.836.111,-4.309.041.667,264
20210401110500,-2.289.836.111,-4.309.041.667,290
20210401111000,-2.289.836.111,-4.309.041.667,277
20210401111500,-2.289.836.111,-4.309.041.667,289
20210401112000,-2.289.836.111,-4.309.041.667,276
20210401112500,-2.289.836.111,-4.309.041.667,273
20210401113000,-2.289.836.111,-4.309.041.667,276
20210401113500,-2.289.836.111,-4.309.041.667,247
20210401114000,-2.289.836.111,-4.309.041.667,233
20210401114500,-2.289.836.111,-4.309.041.667,204
20210401115000,-2.289.836.111,-4.309.041.667,283
,,,
20210401115500,-2.289.836.111,-4.309.041.667,215
20210401120000,-2.289.836.111,-4.309.041.667,258
20210401120500,-2.289.836.111,-4.309.041.667,260
20210401121000,-2.289.836.111,-4.309.041.667,214
20210401121500,-2.289.836.111,-4.309.041.667,270
20210401122000,-2.289.836.111,-4.309.041.667,215
20210401122500,-2.289.836.111,-4.309.041.667,270
20210401123000,-2.289.836.111,-4.309.041.667,299
20210401123500,-2.289.836.111,-4.309.041.667,255
20210401124000,-2.289.836.111,-4.309.041.667,282
20210401124500,-2.289.836.111,-4.309.041.667,276
20210401125000,-2.289.836.111,-4.309.041.667,228
20210401125500,-2.289.836.111,-4.309.041.667,237
,,,
20210401130000,-2.289.836.111,-4.309.041.667,279
20210401130500,-2.289.836.111,-4.309.041.667,315
20210401131000,-2.289.836.111,-4.309.041.667,220
20210401131500,-2.289.836.111,-4.309.041.667,265
20210401132000,-2.289.836.111,-4.309.041.667,251
20210401132500,-2.289.836.111,-4.309.041.667,252
20210401133000,-2.289.836.111,-4.309.041.667,285
20210401133500,-2.289.836.111,-4.309.041.667,225
20210401134000,-2.289.836.111,-4.309.041.667,224
20210401134500,-2.289.836.111,-4.309.041.667,205
20210401135000,-2.289.836.111,-4.309.041.667,224
20210401135500,-2.289.836.111,-4.309.041.667,221
,,,
20210401140000,-2.289.836.111,-4.309.041.667,319
20210401140500,-2.289.836.111,-4.309.041.667,249
20210401141000,-2.289.836.111,-4.309.041.667,271
20210401141500,-2.289.836.111,-4.309.041.667,257
20210401142000,-2.289.836.111,-4.309.041.667,251
20210401142500,-2.289.836.111,-4.309.041.667,280
20210401143000,-2.289.836.111,-4.309.041.667,265
20210401143500,-2.289.836.111,-4.309.041.667,238
20210401144000,-2.289.836.111,-4.309.041.667,264
20210401144500,-2.289.836.111,-4.309.041.667,233
20210401145000,-2.289.836.111,-4.309.041.667,277
20210401145500,-2.289.836.111,-4.309.041.667,258
,,,
20210401150000,-2.289.836.111,-4.309.041.667,284
20210401150500,-2.289.836.111,-4.309.041.667,234
20210401151000,-2.289.836.111,-4.309.041.667,226
20210401151500,-2.289.836.111,-4.309.041.667,288
20210401152000,-2.289.836.111,-4.309.041.667,208
20210401152500,-2.289.836.111,-4.309.041.667,206
20210401153000,-2.289.836.111,-4.309.041.667,280
20210401153500,-2.289.836.111,-4.309.041.667,290
20210401154000,-2.289.836.111,-4.309.041.667,281
20210401154500,-2.289.836.111,-4.309.041.667,295
20210401155000,-2.289.836.111,-4.309.041.667,194
20210401155500,-2.289.836.111,-4.309.041.667,270
,,,
20210401160000,-2.289.836.111,-4.309.041.667,256
20210401160500,-2.289.836.111,-4.309.041.667,225
20210401161000,-2.289.836.111,-4.309.041.667,278
20210401161500,-2.289.836.111,-4.309.041.667,260
20210401162000,-2.289.836.111,-4.309.041.667,230
20210401162500,-2.289.836.111,-4.309.041.667,243
20210401163000,-2.289.836.111,-4.309.041.667,277
20210401163500,-2.289.836.111,-4.309.041.667,336
20210401164000,-2.289.836.111,-4.309.041.667,324
20210401164500,-2.289.836.111,-4.309.041.667,305
20210401165000,-2.289.836.111,-4.309.041.667,270
20210401165500,-2.289.836.111,-4.309.041.667,276
,,,
20210401170000,-2.289.836.111,-4.309.041.667,230
20210401170500,-2.289.836.111,-4.309.041.667,294
20210401171000,-2.289.836.111,-4.309.041.667,256
20210401171500,-2.289.836.111,-4.309.041.667,253
20210401172000,-2.289.836.111,-4.309.041.667,304
20210401172500,-2.289.836.111,-4.309.041.667,307
20210401173000,-2.289.836.111,-4.309.041.667,293
20210401173500,-2.289.836.111,-4.309.041.667,265
20210401174000,-2.289.836.111,-4.309.041.667,231
20210401174500,-2.289.836.111,-4.309.041.667,326
20210401175000,-2.289.836.111,-4.309.041.667,258
20210401175500,-2.289.836.111,-4.309.041.667,250
,,,
20210401180000,-2.289.836.111,-4.309.041.667,275
20210401180500,-2.289.836.111,-4.309.041.667,324
20210401181000,-2.289.836.111,-4.309.041.667,273
20210401181500,-2.289.836.111,-4.309.041.667,318
20210401182000,-2.289.836.111,-4.309.041.667,268
20210401182500,-2.289.836.111,-4.309.041.667,316
20210401183000,-2.289.836.111,-4.309.041.667,289
20210401183500,-2.289.836.111,-4.309.041.667,294
20210401184000,-2.289.836.111,-4.309.041.667,240
20210401184500,-2.289.836.111,-4.309.041.667,247
20210401185000,-2.289.836.111,-4.309.041.667,273
20210401185500,-2.289.836.111,-4.309.041.667,273
,,,
20210401190000,-2.289.836.111,-4.309.041.667,277
20210401190500,-2.289.836.111,-4.309.041.667,285
20210401191000,-2.289.836.111,-4.309.041.667,256
20210401191500,-2.289.836.111,-4.309.041.667,266
20210401192000,-2.289.836.111,-4.309.041.667,280
20210401192500,-2.289.836.111,-4.309.041.667,294
20210401193000,-2.289.836.111,-4.309.041.667,272
20210401193500,-2.289.836.111,-4.309.041.667,262
20210401194000,-2.289.836.111,-4.309.041.667,230
20210401194500,-2.289.836.111,-4.309.041.667,276
20210401195000,-2.289.836.111,-4.309.041.667,249
20210401195500,-2.289.836.111,-4.309.041.667,251
,,,
20210401200000,-2.289.836.111,-4.309.041.667,302
20210401200500,-2.289.836.111,-4.309.041.667,293
20210401201000,-2.289.836.111,-4.309.041.667,286
20210401201500,-2.289.836.111,-4.309.041.667,240
20210401202000,-2.289.836.111,-4.309.041.667,242
20210401202500,-2.289.836.111,-4.309.041.667,247
20210401203000,-2.289.836.111,-4.309.041.667,266
20210401203500,-2.289.836.111,-4.309.041.667,277
20210401204000,-2.289.836.111,-4.309.041.667,237
20210401204500,-2.289.836.111,-4.309.041.667,249
20210401205000,-2.289.836.111,-4.309.041.667,236
20210401205500,-2.289.836.111,-4.309.041.667,245
,,,
20210401210000,-2.289.836.111,-4.309.041.667,225
20210401210500,-2.289.836.111,-4.309.041.667,241
20210401211000,-2.289.836.111,-4.309.041.667,242
20210401211500,-2.289.836.111,-4.309.041.667,300
20210401212000,-2.289.836.111,-4.309.041.667,219
20210401212500,-2.289.836.111,-4.309.041.667,217
20210401213000,-2.289.836.111,-4.309.041.667,280
20210401213500,-2.289.836.111,-4.309.041.667,290
20210401214000,-2.289.836.111,-4.309.041.667,243
20210401214500,-2.289.836.111,-4.309.041.667,278
20210401215000,-2.289.836.111,-4.309.041.667,190
20210401215500,-2.289.836.111,-4.309.041.667,241
,,,
20210401220000,-2.289.836.111,-4.309.041.667,219
20210401220500,-2.289.836.111,-4.309.041.667,216
20210401221000,-2.289.836.111,-4.309.041.667,209
20210401221500,-2.289.836.111,-4.309.041.667,226
20210401222000,-2.289.836.111,-4.309.041.667,225
20210401222500,-2.289.836.111,-4.309.041.667,232
20210401223000,-2.289.836.111,-4.309.041.667,213
20210401223500,-2.289.836.111,-4.309.041.667,211
20210401224000,-2.289.836.111,-4.309.041.667,207
20210401224500,-2.289.836.111,-4.309.041.667,216
20210401225000,-2.289.836.111,-4.309.041.667,141
20210401225500,-2.289.836.111,-4.309.041.667,188
,,,
20210401230000,-2.289.836.111,-4.309.041.667,191
20210401230500,-2.289.836.111,-4.309.041.667,183
20210401231000,-2.289.836.111,-4.309.041.667,185
20210401231500,-2.289.836.111,-4.309.041.667,178
20210401232000,-2.289.836.111,-4.309.041.667,191
20210401232500,-2.289.836.111,-4.309.041.667,182
20210401233000,-2.289.836.111,-4.309.041.667,166
20210401233500,-2.289.836.111,-4.309.041.667,145
20210401234000,-2.289.836.111,-4.309.041.667,63
20210401234500,-2.289.836.111,-4.309.041.667,50
20210401235000,-2.289.836.111,-4.309.041.667,48
20210401235500,-2.289.836.111,-4.309.041.667,58
,,,
20210402000000,-2.289.836.111,-4.309.041.667,188
20210402000500,-2.289.836.111,-4.309.041.667,160
20210402001000,-2.289.836.111,-4.309.041.667,151
20210402001500,-2.289.836.111,-4.309.041.667,161
20210402002000,-2.289.836.111,-4.309.041.667,164
20210402002500,-2.289.836.111,-4.309.041.667,119
20210402003000,-2.289.836.111,-4.309.041.667,144
20210402003500,-2.289.836.111,-4.309.041.667,147
20210402004000,-2.289.836.111,-4.309.041.667,114
20210402004500,-2.289.836.111,-4.309.041.667,140
20210402005000,-2.289.836.111,-4.309.041.667,101
20210402005500,-2.289.836.111,-4.309.041.667,117
,,,
20210402010000,-2.289.836.111,-4.309.041.667,108
20210402010500,-2.289.836.111,-4.309.041.667,121
20210402011000,-2.289.836.111,-4.309.041.667,137
20210402011500,-2.289.836.111,-4.309.041.667,108
20210402012000,-2.289.836.111,-4.309.041.667,103
20210402012500,-2.289.836.111,-4.309.041.667,117
20210402013000,-2.289.836.111,-4.309.041.667,107
20210402013500,-2.289.836.111,-4.309.041.667,133
20210402014000,-2.289.836.111,-4.309.041.667,92
20210402014500,-2.289.836.111,-4.309.041.667,154
20210402015000,-2.289.836.111,-4.309.041.667,97
20210402015500,-2.289.836.111,-4.309.041.667,106
,,,
20210402020000,-2.289.836.111,-4.309.041.667,122
20210402020500,-2.289.836.111,-4.309.041.667,155
20210402021000,-2.289.836.111,-4.309.041.667,120
20210402021500,-2.289.836.111,-4.309.041.667,98
20210402022000,-2.289.836.111,-4.309.041.667,106
20210402022500,-2.289.836.111,-4.309.041.667,139
20210402023000,-2.289.836.111,-4.309.041.667,105
20210402023500,-2.289.836.111,-4.309.041.667,120
20210402024000,-2.289.836.111,-4.309.041.667,139
20210402024500,-2.289.836.111,-4.309.041.667,195
20210402025000,-2.289.836.111,-4.309.041.667,106
20210402025500,-2.289.836.111,-4.309.041.667,94
,,,
20210402030000,-2.289.836.111,-4.309.041.667,89
20210402030500,-2.289.836.111,-4.309.041.667,111
20210402031000,-2.289.836.111,-4.309.041.667,102
20210402031500,-2.289.836.111,-4.309.041.667,79
20210402032000,-2.289.836.111,-4.309.041.667,80
20210402032500,-2.289.836.111,-4.309.041.667,106
20210402033000,-2.289.836.111,-4.309.041.667,102
20210402033500,-2.289.836.111,-4.309.041.667,109
20210402034000,-2.289.836.111,-4.309.041.667,87
20210402034500,-2.289.836.111,-4.309.041.667,119
20210402035000,-2.289.836.111,-4.309.041.667,67
20210402035500,-2.289.836.111,-4.309.041.667,97
,,,
20210402040000,-2.289.836.111,-4.309.041.667,92
20210402040500,-2.289.836.111,-4.309.041.667,89
20210402041000,-2.289.836.111,-4.309.041.667,120
20210402041500,-2.289.836.111,-4.309.041.667,91
20210402042000,-2.289.836.111,-4.309.041.667,92
20210402042500,-2.289.836.111,-4.309.041.667,108
20210402043000,-2.289.836.111,-4.309.041.667,92
20210402043500,-2.289.836.111,-4.309.041.667,102
20210402044000,-2.289.836.111,-4.309.041.667,92
20210402044500,-2.289.836.111,-4.309.041.667,108
20210402045000,-2.289.836.111,-4.309.041.667,63
20210402045500,-2.289.836.111,-4.309.041.667,69
,,,
20210402050000,-2.289.836.111,-4.309.041.667,89
20210402050500,-2.289.836.111,-4.309.041.667,99
20210402051000,-2.289.836.111,-4.309.041.667,99
20210402051500,-2.289.836.111,-4.309.041.667,120
20210402052000,-2.289.836.111,-4.309.041.667,76
20210402052500,-2.289.836.111,-4.309.041.667,140
20210402053000,-2.289.836.111,-4.309.041.667,121
20210402053500,-2.289.836.111,-4.309.041.667,119
20210402054000,-2.289.836.111,-4.309.041.667,99
20210402054500,-2.289.836.111,-4.309.041.667,136
20210402055000,-2.289.836.111,-4.309.041.667,106
20210402055500,-2.289.836.111,-4.309.041.667,91
,,,
20210402060000,-2.289.836.111,-4.309.041.667,110
20210402060500,-2.289.836.111,-4.309.041.667,111
20210402061000,-2.289.836.111,-4.309.041.667,101
20210402061500,-2.289.836.111,-4.309.041.667,124
20210402062000,-2.289.836.111,-4.309.041.667,115
20210402062500,-2.289.836.111,-4.309.041.667,126
20210402063000,-2.289.836.111,-4.309.041.667,107
20210402063500,-2.289.836.111,-4.309.041.667,116
20210402064000,-2.289.836.111,-4.309.041.667,119
20210402064500,-2.289.836.111,-4.309.041.667,127
20210402065000,-2.289.836.111,-4.309.041.667,117
20210402065500,-2.289.836.111,-4.309.041.667,114
,,,
20210402070000,-2.289.836.111,-4.309.041.667,120
20210402070500,-2.289.836.111,-4.309.041.667,146
20210402071000,-2.289.836.111,-4.309.041.667,155
20210402071500,-2.289.836.111,-4.309.041.667,155
20210402072000,-2.289.836.111,-4.309.041.667,156
20210402072500,-2.289.836.111,-4.309.041.667,150
20210402073000,-2.289.836.111,-4.309.041.667,166
20210402073500,-2.289.836.111,-4.309.041.667,140
20210402074000,-2.289.836.111,-4.309.041.667,131
20210402074500,-2.289.836.111,-4.309.041.667,172
20210402075000,-2.289.836.111,-4.309.041.667,143
20210402075500,-2.289.836.111,-4.309.041.667,133
,,,
20210402080000,-2.289.836.111,-4.309.041.667,116
20210402080500,-2.289.836.111,-4.309.041.667,149
20210402081000,-2.289.836.111,-4.309.041.667,145
20210402081500,-2.289.836.111,-4.309.041.667,144
20210402082000,-2.289.836.111,-4.309.041.667,134
20210402082500,-2.289.836.111,-4.309.041.667,170
20210402083000,-2.289.836.111,-4.309.041.667,171
20210402083500,-2.289.836.111,-4.309.041.667,180
20210402084000,-2.289.836.111,-4.309.041.667,157
20210402084500,-2.289.836.111,-4.309.041.667,172
20210402085000,-2.289.836.111,-4.309.041.667,152
20210402085500,-2.289.836.111,-4.309.041.667,160
,,,
20210402090000,-2.289.836.111,-4.309.041.667,208
20210402090500,-2.289.836.111,-4.309.041.667,181
20210402091000,-2.289.836.111,-4.309.041.667,209
20210402091500,-2.289.836.111,-4.309.041.667,213
20210402092000,-2.289.836.111,-4.309.041.667,198
20210402092500,-2.289.836.111,-4.309.041.667,242
20210402093000,-2.289.836.111,-4.309.041.667,200
20210402093500,-2.289.836.111,-4.309.041.667,204
20210402094000,-2.289.836.111,-4.309.041.667,215
20210402094500,-2.289.836.111,-4.309.041.667,203
20210402095000,-2.289.836.111,-4.309.041.667,229
20210402095500,-2.289.836.111,-4.309.041.667,190
,,,
20210402100000,-2.289.836.111,-4.309.041.667,231
20210402100500,-2.289.836.111,-4.309.041.667,232
20210402101000,-2.289.836.111,-4.309.041.667,225
20210402101500,-2.289.836.111,-4.309.041.667,233
20210402102000,-2.289.836.111,-4.309.041.667,253
20210402102500,-2.289.836.111,-4.309.041.667,257
20210402103000,-2.289.836.111,-4.309.041.667,205
20210402103500,-2.289.836.111,-4.309.041.667,262
20210402104000,-2.289.836.111,-4.309.041.667,208
20210402104500,-2.289.836.111,-4.309.041.667,205
20210402105000,-2.289.836.111,-4.309.041.667,192
20210402105500,-2.289.836.111,-4.309.041.667,203
,,,
20210402110000,-2.289.836.111,-4.309.041.667,172
20210402110500,-2.289.836.111,-4.309.041.667,236
20210402111000,-2.289.836.111,-4.309.041.667,222
20210402111500,-2.289.836.111,-4.309.041.667,227
20210402112000,-2.289.836.111,-4.309.041.667,184
20210402112500,-2.289.836.111,-4.309.041.667,240
20210402113000,-2.289.836.111,-4.309.041.667,244
20210402113500,-2.289.836.111,-4.309.041.667,240
20210402114000,-2.289.836.111,-4.309.041.667,212
20210402114500,-2.289.836.111,-4.309.041.667,238
20210402115000,-2.289.836.111,-4.309.041.667,235
20210402115500,-2.289.836.111,-4.309.041.667,233
,,,
20210402120000,-2.289.836.111,-4.309.041.667,205
20210402120500,-2.289.836.111,-4.309.041.667,210
20210402121000,-2.289.836.111,-4.309.041.667,224
20210402121500,-2.289.836.111,-4.309.041.667,214
20210402122000,-2.289.836.111,-4.309.041.667,234
20210402122500,-2.289.836.111,-4.309.041.667,216
20210402123000,-2.289.836.111,-4.309.041.667,282
20210402123500,-2.289.836.111,-4.309.041.667,303
20210402124000,-2.289.836.111,-4.309.041.667,255
20210402124500,-2.289.836.111,-4.309.041.667,222
20210402125000,-2.289.836.111,-4.309.041.667,263
20210402125500,-2.289.836.111,-4.309.041.667,237
,,,
20210402130000,-2.289.836.111,-4.309.041.667,316
20210402130500,-2.289.836.111,-4.309.041.667,268
20210402131000,-2.289.836.111,-4.309.041.667,246
20210402131500,-2.289.836.111,-4.309.041.667,209
20210402132000,-2.289.836.111,-4.309.041.667,231
20210402132500,-2.289.836.111,-4.309.041.667,269
20210402133000,-2.289.836.111,-4.309.041.667,232
20210402133500,-2.289.836.111,-4.309.041.667,238
20210402134000,-2.289.836.111,-4.309.041.667,283
20210402134500,-2.289.836.111,-4.309.041.667,244
20210402135000,-2.289.836.111,-4.309.041.667,251
20210402135500,-2.289.836.111,-4.309.041.667,257
,,,
20210402140000,-2.289.836.111,-4.309.041.667,249
20210402140500,-2.289.836.111,-4.309.041.667,224
20210402141000,-2.289.836.111,-4.309.041.667,293
20210402141500,-2.289.836.111,-4.309.041.667,235
20210402142000,-2.289.836.111,-4.309.041.667,221
20210402142500,-2.289.836.111,-4.309.041.667,236
20210402143000,-2.289.836.111,-4.309.041.667,277
20210402143500,-2.289.836.111,-4.309.041.667,234
20210402144000,-2.289.836.111,-4.309.041.667,221
20210402144500,-2.289.836.111,-4.309.041.667,237
20210402145000,-2.289.836.111,-4.309.041.667,238
20210402145500,-2.289.836.111,-4.309.041.667,213
,,,
20210402150000,-2.289.836.111,-4.309.041.667,238
20210402150500,-2.289.836.111,-4.309.041.667,241
20210402151000,-2.289.836.111,-4.309.041.667,212
20210402151500,-2.289.836.111,-4.309.041.667,196
20210402152000,-2.289.836.111,-4.309.041.667,222
20210402152500,-2.289.836.111,-4.309.041.667,293
20210402153000,-2.289.836.111,-4.309.041.667,222
20210402153500,-2.289.836.111,-4.309.041.667,196
20210402154000,-2.289.836.111,-4.309.041.667,254
20210402154500,-2.289.836.111,-4.309.041.667,204
20210402155000,-2.289.836.111,-4.309.041.667,194
20210402155500,-2.289.836.111,-4.309.041.667,222
,,,
20210402160000,-2.289.836.111,-4.309.041.667,202
20210402160500,-2.289.836.111,-4.309.041.667,203
20210402161000,-2.289.836.111,-4.309.041.667,222
20210402161500,-2.289.836.111,-4.309.041.667,194
20210402162000,-2.289.836.111,-4.309.041.667,210
20210402162500,-2.289.836.111,-4.309.041.667,251
20210402163000,-2.289.836.111,-4.309.041.667,242
20210402163500,-2.289.836.111,-4.309.041.667,175
20210402164000,-2.289.836.111,-4.309.041.667,246
20210402164500,-2.289.836.111,-4.309.041.667,219
20210402165000,-2.289.836.111,-4.309.041.667,192
20210402165500,-2.289.836.111,-4.309.041.667,202
,,,
20210402170000,-2.289.836.111,-4.309.041.667,211
20210402170500,-2.289.836.111,-4.309.041.667,182
20210402171000,-2.289.836.111,-4.309.041.667,216
20210402171500,-2.289.836.111,-4.309.041.667,221
20210402172000,-2.289.836.111,-4.309.041.667,205
20210402172500,-2.289.836.111,-4.309.041.667,283
20210402173000,-2.289.836.111,-4.309.041.667,203
20210402173500,-2.289.836.111,-4.309.041.667,219
20210402174000,-2.289.836.111,-4.309.041.667,228
20210402174500,-2.289.836.111,-4.309.041.667,216
20210402175000,-2.289.836.111,-4.309.041.667,254
20210402175500,-2.289.836.111,-4.309.041.667,256
,,,
20210402180000,-2.289.836.111,-4.309.041.667,267
20210402180500,-2.289.836.111,-4.309.041.667,231
20210402181000,-2.289.836.111,-4.309.041.667,172
20210402181500,-2.289.836.111,-4.309.041.667,246
20210402182000,-2.289.836.111,-4.309.041.667,216
20210402182500,-2.289.836.111,-4.309.041.667,246
20210402183000,-2.289.836.111,-4.309.041.667,188
20210402183500,-2.289.836.111,-4.309.041.667,214
20210402184000,-2.289.836.111,-4.309.041.667,239
20210402184500,-2.289.836.111,-4.309.041.667,242
20210402185000,-2.289.836.111,-4.309.041.667,258
20210402185500,-2.289.836.111,-4.309.041.667,245
,,,
20210402190000,-2.289.836.111,-4.309.041.667,240
20210402190500,-2.289.836.111,-4.309.041.667,259
20210402191000,-2.289.836.111,-4.309.041.667,216
20210402191500,-2.289.836.111,-4.309.041.667,260
20210402192000,-2.289.836.111,-4.309.041.667,279
20210402192500,-2.289.836.111,-4.309.041.667,276
20210402193000,-2.289.836.111,-4.309.041.667,158
20210402193500,-2.289.836.111,-4.309.041.667,196
20210402194000,-2.289.836.111,-4.309.041.667,216
20210402194500,-2.289.836.111,-4.309.041.667,242
20210402195000,-2.289.836.111,-4.309.041.667,244
20210402195500,-2.289.836.111,-4.309.041.667,265
,,,
20210402200000,-2.289.836.111,-4.309.041.667,210
20210402200500,-2.289.836.111,-4.309.041.667,290
